t,x_x(t) [cube 2],x_y(t) [cube 2],x_z(t) [cube 2],F(t) [cube 2]
3.879997,12.02484,-23.67773,-3.261235E-06,21.77209
3.899997,12.06733,-24.11502,-3.290711E-06,21.96737
3.919997,12.10982,-24.55623,-3.320186E-06,22.16265
3.939997,12.1523,-25.00136,-3.349661E-06,22.35796
3.959997,12.19479,-25.45042,-3.379137E-06,22.55328
3.979997,12.23728,-25.90341,-3.408612E-06,22.74861
3.999997,12.27977,-26.36032,-3.438088E-06,22.94396
4.019997,12.32226,-26.82115,-3.467563E-06,23.13933
4.039997,12.36474,-27.2859,-3.497038E-06,23.3347
4.059997,12.40723,-27.75458,-3.526514E-06,23.5301
4.079997,12.44972,-28.22719,-3.555989E-06,23.7255
4.099997,12.49221,-28.70372,-3.585464E-06,23.92092
4.119997,12.5347,-29.18417,-3.61494E-06,24.11635
4.139997,12.57718,-29.66854,-3.644415E-06,24.31179
4.159997,12.61967,-30.15684,-3.67389E-06,24.50725
4.179997,12.66216,-30.64907,-3.703366E-06,24.70271
4.199997,12.70465,-31.14521,-3.732841E-06,24.89819
4.219997,12.74714,-31.64529,-3.762317E-06,25.09368
4.239997,12.78963,-32.14928,-3.791792E-06,25.28918
4.259997,12.83211,-32.6572,-3.821267E-06,25.48469
4.279997,12.8746,-33.16904,-3.850742E-06,25.68021
4.299997,12.91709,-33.68481,-3.880218E-06,25.87575
4.319997,12.95958,-34.2045,-3.909693E-06,26.07129
4.339997,13.00207,-34.72812,-3.939168E-06,26.26684
4.359997,13.04455,-35.25566,-3.968644E-06,26.4624
4.379997,13.08704,-35.78712,-3.998119E-06,26.65797
4.399997,13.12953,-36.32251,-4.027595E-06,26.85355
4.419997,13.17202,-36.86182,-4.05707E-06,27.04914
4.439997,13.21451,-37.40506,-4.086545E-06,27.24474
4.459997,13.25699,-37.95222,-4.116021E-06,27.44035
4.479997,13.29948,-38.5033,-4.145496E-06,27.63596
4.499997,13.34197,-39.05831,-4.174971E-06,27.83158
4.519997,13.38446,-39.61724,-4.204447E-06,28.02721
4.539997,13.42695,-40.1801,-4.233922E-06,28.22285
4.559997,13.46943,-40.74688,-4.263397E-06,28.4185
4.579997,13.51192,-41.31758,-4.292873E-06,28.61415
4.599997,13.55441,-41.89221,-4.322348E-06,28.80981
4.619997,13.5969,-42.47076,-4.351823E-06,29.00548
4.639997,13.63939,-43.05323,-4.381299E-06,29.20116
4.659997,13.68188,-43.63963,-4.410774E-06,29.39684
4.679996,13.72436,-44.22996,-4.44025E-06,29.59253
4.699996,13.76685,-44.8242,-4.469725E-06,29.78823
4.719996,13.80934,-45.42237,-4.4992E-06,29.98393
4.739996,13.85183,-46.02447,-4.528676E-06,30.17964
4.759996,13.89432,-46.63049,-4.558151E-06,30.37536
4.779996,13.9368,-47.24043,-4.587626E-06,30.57108
4.799996,13.97929,-47.8543,-4.617102E-06,30.76681
4.819996,14.02178,-48.47209,-4.646577E-06,30.96254
4.839996,14.06427,-49.09381,-4.676052E-06,31.15828
4.859996,14.10676,-49.71945,-4.705528E-06,31.35403
4.879996,14.14924,-50.34901,-4.735003E-06,31.54978
4.899996,14.19173,-50.9825,-4.764478E-06,31.74554
4.919996,14.23422,-51.61991,-4.793954E-06,31.9413
4.939996,14.27671,-52.26125,-4.823429E-06,32.13707
4.959996,14.3192,-52.90651,-4.852905E-06,32.33284
4.979996,14.36168,-53.55569,-4.88238E-06,32.52862
4.999996,14.40417,-54.2088,-4.911855E-06,32.72441
5.019996,14.44666,-54.86583,-4.941331E-06,32.9202
5.039996,14.48915,-55.52679,-4.970806E-06,33.11599
5.059996,14.53164,-56.19167,-5.000281E-06,33.31179
5.079996,14.57413,-56.86047,-5.029757E-06,33.5076
5.099996,14.61661,-57.5332,-5.059232E-06,33.7034
5.119996,14.6591,-58.20985,-5.088707E-06,33.89922
5.139996,14.70159,-58.89043,-5.118183E-06,34.09504
5.159996,14.74408,-59.57493,-5.147658E-06,34.29086
5.179996,14.78657,-60.26335,-5.177134E-06,34.48668
5.199996,14.82905,-60.9557,-5.206609E-06,34.68251
5.219996,14.87154,-61.65197,-5.236084E-06,34.87835
5.239996,14.91403,-62.35217,-5.26556E-06,35.07419
5.259996,14.95652,-63.05629,-5.295035E-06,35.27003
5.279996,14.99901,-63.76433,-5.32451E-06,35.46588
5.299996,15.04149,-64.4763,-5.353986E-06,35.66173
5.319996,15.08398,-65.19218,-5.383461E-06,35.85759
5.339996,15.12647,-65.912,-5.412936E-06,36.05344
5.359996,15.16896,-66.63574,-5.442412E-06,36.24931
5.379996,15.21145,-67.3634,-5.471887E-06,36.44517
5.399996,15.25393,-68.09499,-5.501362E-06,36.64104
5.419996,15.29642,-68.83051,-5.530838E-06,36.83691
5.439996,15.33891,-69.56994,-5.560313E-06,37.03279
5.459996,15.3814,-70.3133,-5.589789E-06,37.22867
5.479996,15.42389,-71.06059,-5.619264E-06,37.42455
5.499996,15.46638,-71.81179,-5.648739E-06,37.62044
5.519996,15.50886,-72.56693,-5.678215E-06,37.81633
5.539996,15.55135,-73.32598,-5.70769E-06,38.01222
5.559996,15.59384,-74.08896,-5.737165E-06,38.20812
5.579996,15.63633,-74.85587,-5.766641E-06,38.40402
5.599996,15.67882,-75.62669,-5.796116E-06,38.59992
5.619996,15.7213,-76.40144,-5.825591E-06,38.79583
5.639996,15.76379,-77.18012,-5.855067E-06,38.99173
5.659996,15.80628,-77.96272,-5.884542E-06,39.18764
5.679996,15.84877,-78.74924,-5.914017E-06,39.38356
5.699996,15.89126,-79.5397,-5.943493E-06,39.57948
5.719995,15.93374,-80.33407,-5.972968E-06,39.7754
5.739995,15.97623,-81.13236,-6.002444E-06,39.97132
5.759995,16.01872,-81.93459,-6.031919E-06,40.16724
5.779995,16.06121,-82.74073,-6.061394E-06,40.36317
5.799995,16.1037,-83.5508,-6.09087E-06,40.5591
5.819995,16.14618,-84.36479,-6.120345E-06,40.75504
5.839995,16.18867,-85.18271,-6.14982E-06,40.95097
5.859995,16.23116,-86.00455,-6.179296E-06,41.14691
5.879995,16.27365,-86.83031,-6.208771E-06,41.34285
5.899995,16.31614,-87.66,-6.238246E-06,41.5388
