t,F(t) [cube 1],x(t) [cube 1]
12.44009,0.27128,-6.940255
12.4601,0.270308,-6.941026
12.4801,0.2693359,-6.941789
12.5001,0.2683639,-6.942544
12.5201,0.2673918,-6.94329
12.5401,0.2664198,-6.944027
12.5601,0.2654477,-6.944757
12.5801,0.2644756,-6.945478
12.6001,0.2635036,-6.946191
12.6201,0.2625315,-6.946896
12.6401,0.2615595,-6.947592
12.6601,0.2605874,-6.948281
12.6801,0.2596154,-6.948962
12.7001,0.2586433,-6.949635
12.7201,0.2576712,-6.9503
12.7401,0.2566991,-6.950957
12.7601,0.2557271,-6.951606
12.7801,0.254755,-6.952248
12.8001,0.2537829,-6.952882
12.8201,0.2528108,-6.953509
12.8401,0.2518387,-6.954128
12.8601,0.2508667,-6.95474
12.88011,0.2498946,-6.955345
12.90011,0.2489225,-6.955942
12.92011,0.2479504,-6.956532
12.94011,0.2469783,-6.957114
12.96011,0.2460062,-6.95769
12.98011,0.2450341,-6.958258
13.00011,0.244062,-6.95882
13.02011,0.2430899,-6.959374
13.04011,0.2421178,-6.959922
13.06011,0.2411457,-6.960463
13.08011,0.2401737,-6.960997
13.10011,0.2392016,-6.961524
13.12011,0.2382295,-6.962045
13.14011,0.2372574,-6.962559
13.16011,0.2362853,-6.963066
13.18011,0.2353131,-6.963567
13.20011,0.234341,-6.964061
13.22011,0.2333689,-6.964549
13.24011,0.2323968,-6.965031
13.26011,0.2314247,-6.965506
13.28011,0.2304526,-6.965975
13.30011,0.2294805,-6.966437
13.32012,0.2285084,-6.966894
13.34012,0.2275363,-6.967344
13.36012,0.2265642,-6.967789
13.38012,0.2255921,-6.968227
13.40012,0.2246199,-6.968659
13.42012,0.2236478,-6.969086
13.44012,0.2226757,-6.969507
13.46012,0.2217036,-6.969922
13.48012,0.2207314,-6.970331
13.50012,0.2197593,-6.970734
13.52012,0.2187872,-6.971132
13.54012,0.2178151,-6.971525
13.56012,0.2168429,-6.971911
13.58012,0.2158708,-6.972293
13.60012,0.2148987,-6.972669
13.62012,0.2139265,-6.973039
13.64012,0.2129544,-6.973404
13.66012,0.2119823,-6.973764
13.68012,0.2110101,-6.974119
13.70012,0.210038,-6.974469
13.72012,0.2090659,-6.974813
13.74012,0.2080937,-6.975152
13.76013,0.2071216,-6.975486
13.78013,0.2061495,-6.975815
13.80013,0.2051773,-6.97614
13.82013,0.2042052,-6.976459
13.84013,0.203233,-6.976774
13.86013,0.2022609,-6.977084
13.88013,0.2012887,-6.977389
13.90013,0.2003166,-6.977689
13.92013,0.1993444,-6.977985
13.94013,0.1983723,-6.978276
13.96013,0.1974002,-6.978562
13.98013,0.196428,-6.978844
14.00013,0.1954559,-6.979122
14.02013,0.1944837,-6.979395
14.04013,0.1935116,-6.979663
14.06013,0.1925394,-6.979928
14.08013,0.1915673,-6.980187
14.10013,0.1905951,-6.980443
14.12013,0.1896229,-6.980695
14.14013,0.1886508,-6.980942
14.16013,0.1876786,-6.981185
14.18013,0.1867065,-6.981425
14.20014,0.1857343,-6.98166
14.22014,0.1847622,-6.981891
14.24014,0.18379,-6.982119
14.26014,0.1828178,-6.982342
14.28014,0.1818457,-6.982561
14.30014,0.1808735,-6.982777
14.32014,0.1799013,-6.982988
14.34014,0.1789292,-6.983197
14.36014,0.177957,-6.983401
14.38014,0.1769849,-6.983602
14.40014,0.1760127,-6.983799
14.42014,0.1750405,-6.983993
14.44014,0.1740684,-6.984183
14.46014,0.1730962,-6.98437
14.48014,0.172124,-6.984553
14.50014,0.1711519,-6.984733
14.52014,0.1701797,-6.98491
14.54014,0.1692075,-6.985083
14.56014,0.1682353,-6.985252
14.58014,0.1672632,-6.985419
14.60014,0.166291,-6.985582
14.62014,0.1653188,-6.985743
14.64015,0.1643467,-6.9859
14.66015,0.1633745,-6.986054
14.68015,0.1624023,-6.986205
14.70015,0.1614301,-6.986353
14.72015,0.1604579,-6.986498
14.74015,0.1594858,-6.98664
14.76015,0.1585136,-6.986779
14.78015,0.1575414,-6.986916
14.80015,0.1565692,-6.987049
14.82015,0.155597,-6.98718
14.84015,0.1546249,-6.987308
14.86015,0.1536527,-6.987433
14.88015,0.1526805,-6.987556
14.90015,0.1517083,-6.987675
14.92015,0.1507361,-6.987792
14.94015,0.149764,-6.987907
14.96015,0.1487918,-6.988019
14.98015,0.1478196,-6.988129
15.00015,0.1468474,-6.988236
15.02015,0.1458752,-6.988341
15.04015,0.144903,-6.988444
15.06015,0.1439309,-6.988544
15.08016,0.1429587,-6.988642
15.10016,0.1419865,-6.988737
15.12016,0.1410143,-6.98883
15.14016,0.1400421,-6.988921
15.16016,0.1390699,-6.98901
15.18016,0.1380977,-6.989096
15.20016,0.1371256,-6.989181
15.22016,0.1361534,-6.989263
15.24016,0.1351812,-6.989343
15.26016,0.134209,-6.989421
15.28016,0.1332368,-6.989498
15.30016,0.1322646,-6.989572
15.32016,0.1312924,-6.989645
15.34016,0.1303202,-6.989715
15.36016,0.129348,-6.989784
15.38016,0.1283758,-6.989851
15.40016,0.1274036,-6.989915
15.42016,0.1264314,-6.989978
15.44016,0.1254592,-6.990039
15.46016,0.124487,-6.990099
15.48016,0.1235148,-6.990157
15.50016,0.1225426,-6.990213
15.52017,0.1215704,-6.990267
15.54017,0.1205982,-6.99032
15.56017,0.1196261,-6.990372
15.58017,0.1186539,-6.990421
15.60017,0.1176817,-6.990469
15.62017,0.1167095,-6.990516
15.64017,0.1157373,-6.990561
15.66017,0.1147651,-6.990605
15.68017,0.1137929,-6.990648
15.70017,0.1128207,-6.990689
15.72017,0.1118485,-6.990728
15.74017,0.1108763,-6.990767
15.76017,0.1099041,-6.990803
15.78017,0.1089319,-6.990839
15.80017,0.1079597,-6.990873
15.82017,0.1069875,-6.990906
15.84017,0.1060153,-6.990938
15.86017,0.1050431,-6.990969
15.88017,0.1040709,-6.990998
15.90017,0.1030987,-6.991026
15.92017,0.1021265,-6.991054
15.94018,0.1011543,-6.99108
15.96018,0.100182,-6.991105
15.98018,0.09920985,-6.991129
