t,v(t) [cube 1],x(t) [cube 1],F(t) [cube 1],v(t) [cube 2],x(t) [cube 2],F(t) [cube 2],distance
2.999998,1.120539,-1.575659,1.120539,1.120539,0.6569101,1.120539,1.232569
3.019998,1.120539,-1.553248,1.120539,1.120539,0.6793208,1.120539,1.232569
3.039998,1.120539,-1.530838,1.120539,1.120539,0.7017316,1.120539,1.232569
3.059998,1.120539,-1.508427,1.120539,1.120539,0.7241423,1.120539,1.232569
3.079998,1.120539,-1.486016,1.120539,1.120539,0.7465531,1.120539,1.232569
3.099998,1.120539,-1.463605,1.120539,1.120539,0.7689638,1.120539,1.232569
3.119998,1.120539,-1.441195,1.120539,1.120539,0.7913746,1.120539,1.232569
3.139998,1.120539,-1.418784,1.120539,1.120539,0.8137853,1.120539,1.232569
3.159998,1.120539,-1.396373,1.120539,1.120539,0.8361961,1.120539,1.232569
3.179998,1.120539,-1.373962,1.120539,1.120539,0.8586068,1.120539,1.232569
3.199998,1.120539,-1.351552,1.120539,1.120539,0.8810176,1.120539,1.232569
3.219998,1.120539,-1.329141,1.120539,1.120539,0.9034283,1.120539,1.232569
3.239998,1.120539,-1.30673,1.120539,1.120539,0.9258391,1.120539,1.232569
3.259998,1.120539,-1.284319,1.120539,1.120539,0.9482498,1.120539,1.232569
3.279998,1.120539,-1.261909,1.120539,1.120539,0.9706606,1.120539,1.232569
3.299998,1.120539,-1.239498,1.120539,1.120539,0.9930713,1.120539,1.232569
3.319998,1.120539,-1.217087,1.120539,1.120539,1.015482,1.120539,1.232569
3.339998,1.120539,-1.194676,1.120539,1.120539,1.037893,1.120539,1.232569
3.359998,1.120539,-1.172266,1.120539,1.120539,1.060304,1.120539,1.232569
3.379997,1.120539,-1.149855,1.120539,1.120539,1.082714,1.120539,1.232569
3.399997,1.120539,-1.127444,1.120539,1.120539,1.105125,1.120539,1.232569
3.419997,1.120539,-1.105033,1.120539,1.120539,1.127536,1.120539,1.232569
3.439997,1.120539,-1.082623,1.120539,1.120539,1.149947,1.120539,1.232569
3.459997,1.120539,-1.060212,1.120539,1.120539,1.172357,1.120539,1.232569
3.479997,1.120539,-1.037801,1.120539,1.120539,1.194768,1.120539,1.232569
3.499997,1.120539,-1.01539,1.120539,1.120539,1.217179,1.120539,1.232569
3.519997,1.120539,-0.9929796,1.120539,1.120539,1.23959,1.120539,1.232569
3.539997,1.120539,-0.9705689,1.120539,1.120539,1.262,1.120539,1.232569
3.559997,1.120539,-0.9481581,1.120539,1.120539,1.284411,1.120539,1.232569
3.579997,1.120539,-0.9257474,1.120539,1.120539,1.306822,1.120539,1.232569
3.599997,1.120539,-0.9033366,1.120539,1.120539,1.329233,1.120539,1.232569
3.619997,1.120539,-0.8809259,1.120539,1.120539,1.351643,1.120539,1.232569
3.639997,1.120539,-0.8585151,1.120539,1.120539,1.374054,1.120539,1.232569
3.659997,1.120539,-0.8361044,1.120539,1.120539,1.396465,1.120539,1.232569
3.679997,1.120539,-0.8136936,1.120539,1.120539,1.418876,1.120539,1.232569
3.699997,1.120539,-0.7912829,1.120539,1.120539,1.441286,1.120539,1.232569
3.719997,1.120539,-0.7688721,1.120539,1.120539,1.463697,1.120539,1.232569
3.739997,1.120539,-0.7464614,1.120539,1.120539,1.486108,1.120539,1.232569
3.759997,1.120539,-0.7240506,1.120539,1.120539,1.508519,1.120539,1.232569
3.779997,1.120539,-0.7016399,1.120539,1.120539,1.530929,1.120539,1.232569
3.799997,1.120539,-0.6792291,1.120539,1.120539,1.55334,1.120539,1.232569
3.819997,1.120539,-0.6568184,1.120539,1.120539,1.575751,1.120539,1.232569
3.839997,1.120539,-0.6344076,1.120539,1.120539,1.598162,1.120539,1.232569
3.859997,1.120539,-0.6119969,1.120539,1.120539,1.620572,1.120539,1.232569
3.879997,1.120539,-0.5895861,1.120539,1.120539,1.642983,1.120539,1.232569
3.899997,1.120539,-0.5671754,1.120539,1.120539,1.665394,1.120539,1.232569
3.919997,1.120539,-0.5447646,1.120539,1.120539,1.687805,1.120539,1.232569
3.939997,1.120539,-0.5223539,1.120539,1.120539,1.710215,1.120539,1.232569
3.959997,1.120539,-0.4999431,1.120539,1.120539,1.732626,1.120539,1.232569
3.979997,1.120539,-0.4775323,1.120539,1.120539,1.755037,1.120539,1.232569
3.999997,1.120539,-0.4551215,1.120539,1.120539,1.777448,1.120539,1.232569
4.019997,1.120539,-0.4327108,1.120539,1.120539,1.799858,1.120539,1.232569
4.039997,1.120539,-0.4103,1.120539,1.120539,1.822269,1.120539,1.232569
4.059997,1.120539,-0.3878892,1.120539,1.120539,1.84468,1.120539,1.232569
4.079997,1.120539,-0.3654784,1.120539,1.120539,1.867091,1.120539,1.232569
4.099997,1.120539,-0.3430676,1.120539,1.120539,1.889501,1.120539,1.232569
4.119997,1.120539,-0.3206569,1.120539,1.120539,1.911912,1.120539,1.232569
4.139997,1.120539,-0.2982461,1.120539,1.120539,1.934323,1.120539,1.232569
4.159997,1.120539,-0.2758353,1.120539,1.120539,1.956734,1.120539,1.232569
4.179997,1.120539,-0.2534245,1.120539,1.120539,1.979144,1.120539,1.232569
4.199997,1.120539,-0.2310137,1.120539,1.120539,2.001555,1.120539,1.232569
4.219997,1.120539,-0.208603,1.120539,1.120539,2.023966,1.120539,1.232569
4.239997,1.120539,-0.1861922,1.120539,1.120539,2.046377,1.120539,1.232569
4.259997,1.120539,-0.1637814,1.120539,1.120539,2.068788,1.120539,1.232569
4.279997,1.120539,-0.1413706,1.120539,1.120539,2.091199,1.120539,1.232569
4.299997,1.120539,-0.1189598,1.120539,1.120539,2.11361,1.120539,1.232569
4.319997,1.120539,-0.09654906,1.120539,1.120539,2.13602,1.120539,1.232569
4.339997,1.120539,-0.07413828,1.120539,1.120539,2.158431,1.120539,1.23257
4.359997,1.120539,-0.0517275,1.120539,1.120539,2.180842,1.120539,1.23257
4.379997,1.120539,-0.02931673,1.120539,1.120539,2.203253,1.120539,1.23257
4.399997,1.120539,-0.006905947,1.120539,1.120539,2.225664,1.120539,1.23257
4.419997,1.120539,0.01550483,1.120539,1.120539,2.248075,1.120539,1.23257
4.439997,1.120539,0.03791561,1.120539,1.120539,2.270486,1.120539,1.23257
4.459997,1.120539,0.06032639,1.120539,1.120539,2.292897,1.120539,1.23257
4.479997,1.120539,0.08273717,1.120539,1.120539,2.315307,1.120539,1.23257
4.499997,1.120539,0.105148,1.120539,1.120539,2.337718,1.120539,1.23257
4.519997,1.120539,0.1275587,1.120539,1.120539,2.360129,1.120539,1.23257
4.539997,1.120539,0.1499695,1.120539,1.120539,2.38254,1.120539,1.232571
4.559997,1.120539,0.1723803,1.120539,1.120539,2.404951,1.120539,1.232571
4.579997,1.120539,0.1947911,1.120539,1.120539,2.427362,1.120539,1.232571
4.599997,1.120539,0.2172018,1.120539,1.120539,2.449773,1.120539,1.232571
4.619997,1.120539,0.2396126,1.120539,1.120539,2.472183,1.120539,1.232571
4.639997,1.120539,0.2620234,1.120539,1.120539,2.494594,1.120539,1.232571
4.659997,1.120539,0.2844342,1.120539,1.120539,2.517005,1.120539,1.232571
4.679996,1.120539,0.3068449,1.120539,1.120539,2.539416,1.120539,1.232571
4.699996,1.120539,0.3292557,1.120539,1.120539,2.561827,1.120539,1.232571
4.719996,1.120539,0.3516665,1.120539,1.120539,2.584238,1.120539,1.232571
4.739996,1.120539,0.3740773,1.120539,1.120539,2.606649,1.120539,1.232571
4.759996,1.120539,0.3964881,1.120539,1.120539,2.62906,1.120539,1.232571
4.779996,1.120539,0.4188989,1.120539,1.120539,2.65147,1.120539,1.232572
4.799996,1.120539,0.4413096,1.120539,1.120539,2.673881,1.120539,1.232572
4.819996,1.120539,0.4637204,1.120539,1.120539,2.696292,1.120539,1.232572
4.839996,1.120539,0.4861312,1.120539,1.120539,2.718703,1.120539,1.232572
4.859996,1.120539,0.5085419,1.120539,1.120539,2.741114,1.120539,1.232572
4.879996,1.120539,0.5309527,1.120539,1.120539,2.763525,1.120539,1.232572
4.899996,1.120539,0.5533634,1.120539,1.120539,2.785936,1.120539,1.232572
4.919996,1.120539,0.5757742,1.120539,1.120539,2.808347,1.120539,1.232572
4.939996,1.120539,0.5981849,1.120539,1.120539,2.830757,1.120539,1.232572
4.959996,1.120539,0.6205957,1.120539,1.120539,2.853168,1.120539,1.232573
4.979996,1.120539,0.6430064,1.120539,1.120539,2.875579,1.120539,1.232573
4.999996,1.120539,0.6654172,1.120539,1.120539,2.89799,1.120539,1.232573
5.019996,1.120539,0.6878279,1.120539,1.120539,2.920401,1.120539,1.232573
5.039996,1.120539,0.7102387,1.120539,1.120539,2.942812,1.120539,1.232573
5.059996,1.120539,0.7326494,1.120539,1.120539,2.965223,1.120539,1.232573
5.079996,1.120539,0.7550602,1.120539,1.120539,2.987633,1.120539,1.232573
5.099996,1.120539,0.7774709,1.120539,1.120539,3.010044,1.120539,1.232573
5.119996,1.120539,0.7998817,1.120539,1.120539,3.032455,1.120539,1.232574
5.139996,1.120539,0.8222924,1.120539,1.120539,3.054866,1.120539,1.232574
5.159996,1.120539,0.8447032,1.120539,1.120539,3.077277,1.120539,1.232574
5.179996,1.120539,0.8671139,1.120539,1.120539,3.099688,1.120539,1.232574
5.199996,1.120539,0.8895247,1.120539,1.120539,3.122099,1.120539,1.232574
5.219996,1.120539,0.9119354,1.120539,1.120539,3.14451,1.120539,1.232574
5.239996,1.120539,0.9343462,1.120539,1.120539,3.16692,1.120539,1.232574
5.259996,1.120539,0.9567569,1.120539,1.120539,3.189331,1.120539,1.232574
5.279996,1.120539,0.9791677,1.120539,1.120539,3.211742,1.120539,1.232574
5.299996,1.120539,1.001578,1.120539,1.120539,3.234153,1.120539,1.232575
5.319996,0.8135688,1.01785,0.8135688,1.274024,3.259634,1.274024,1.241784
5.339996,0.6619256,1.031088,0.6619256,1.349846,3.28663,1.349846,1.255542
5.359996,0.513034,1.041349,0.513034,1.424291,3.315116,1.424291,1.273767
5.379996,0.3677874,1.048705,0.3677874,1.496915,3.345054,1.496915,1.29635
5.399996,0.2270574,1.053246,0.2270574,1.56728,3.3764,1.56728,1.323154
5.419996,0.09168817,1.05508,0.09168817,1.634964,3.409099,1.634964,1.35402
5.439996,-0.03750789,1.05433,0.03750789,1.699563,3.443091,1.699563,1.388761
5.459996,-0.1597557,1.051134,0.1597557,1.760686,3.478304,1.760686,1.42717
5.479996,-0.2743216,1.045648,0.2743216,1.817969,3.514664,1.817969,1.469016
5.499996,-0.3805185,1.038038,0.3805185,1.871068,3.552085,1.871068,1.514048
5.519996,-0.4777089,1.028483,0.4777089,1.919663,3.590478,1.919663,1.561995
5.539996,-0.5653099,1.017177,0.5653099,1.963464,3.629748,1.963464,1.61257
5.559996,-0.6427959,1.004321,0.6427959,2.002207,3.669792,2.002207,1.66547
5.579996,-0.7097018,0.9901273,0.7097018,2.03566,3.710505,2.03566,1.720378
5.599996,-0.7656263,0.9748148,0.7656263,2.063622,3.751777,2.063622,1.776963
5.619996,-0.8102337,0.9586101,0.8102337,2.085926,3.793496,2.085926,1.834886
5.639996,-0.8432565,0.941745,0.8432565,2.102437,3.835545,2.102437,1.8938
5.659996,-0.8644966,0.924455,0.8644966,2.113057,3.877806,2.113057,1.953351
5.679996,-0.8738265,0.9069785,0.8738265,2.117722,3.92016,2.117722,2.013182
5.699996,-0.8738265,0.8895019,0.8738265,2.117722,3.962514,2.117722,2.073012
5.719995,-0.8738265,0.8720254,0.8738265,2.117722,4.004869,2.117722,2.132843
5.739995,-0.8738265,0.8545488,0.8738265,2.117722,4.047224,2.117722,2.192675
5.759995,-0.8738265,0.8370723,0.8738265,2.117722,4.089578,2.117722,2.252506
5.779995,-0.8738265,0.8195957,0.8738265,2.117722,4.131933,2.117722,2.312337
5.799995,-0.8738265,0.8021191,0.8738265,2.117722,4.174287,2.117722,2.372168
5.819995,-0.8738265,0.7846426,0.8738265,2.117722,4.216642,2.117722,2.431999
5.839995,-0.8738265,0.767166,0.8738265,2.117722,4.258996,2.117722,2.49183
5.859995,-0.8738265,0.7496895,0.8738265,2.117722,4.301351,2.117722,2.551661
5.879995,-0.8738265,0.7322129,0.8738265,2.117722,4.343706,2.117722,2.611493
5.899995,-0.8738265,0.7147363,0.8738265,2.117722,4.38606,2.117722,2.671324
5.919995,-0.8738265,0.6972598,0.8738265,2.117722,4.428415,2.117722,2.731155
5.939995,-0.8738265,0.6797832,0.8738265,2.117722,4.470769,2.117722,2.790986
5.959995,-0.8738265,0.6623067,0.8738265,2.117722,4.513124,2.117722,2.850817
5.979995,-0.8738265,0.6448301,0.8738265,2.117722,4.555479,2.117722,2.910648
5.999995,-0.8738265,0.6273535,0.8738265,2.117722,4.597833,2.117722,2.970479
6.019995,-0.8738265,0.609877,0.8738265,2.117722,4.640188,2.117722,3.030311
6.039995,-0.8738265,0.5924004,0.8738265,2.117722,4.682542,2.117722,3.090142
6.059995,-0.8738265,0.5749239,0.8738265,2.117722,4.724897,2.117722,3.149973
6.079995,-0.8738265,0.5574473,0.8738265,2.117722,4.767251,2.117722,3.209804
6.099995,-0.8738265,0.5399708,0.8738265,2.117722,4.809606,2.117722,3.269635
6.119995,-0.8738265,0.5224942,0.8738265,2.117722,4.851961,2.117722,3.329466
6.139995,-0.8738265,0.5050176,0.8738265,2.117722,4.894315,2.117722,3.389297
6.159995,-0.8738265,0.4875411,0.8738265,2.117722,4.93667,2.117722,3.449129
6.179995,-0.8738265,0.4700646,0.8738265,2.117722,4.979024,2.117722,3.50896
6.199995,-0.8738265,0.4525881,0.8738265,2.117722,5.021379,2.117722,3.568791
6.219995,-0.8738265,0.4351115,0.8738265,2.117722,5.063734,2.117722,3.628622
6.239995,-0.8738265,0.417635,0.8738265,2.117722,5.106088,2.117722,3.688453
6.259995,-0.8738265,0.4001585,0.8738265,2.117722,5.148443,2.117722,3.748284
6.279995,-0.8738265,0.3826819,0.8738265,2.117722,5.190797,2.117722,3.808115
6.299995,-0.8738265,0.3652054,0.8738265,2.117722,5.233152,2.117722,3.867947
6.319995,-0.8738265,0.3477289,0.8738265,2.117722,5.275506,2.117722,3.927778
6.339995,-0.8738265,0.3302523,0.8738265,2.117722,5.317861,2.117722,3.987609
6.359995,-0.8738265,0.3127758,0.8738265,2.117722,5.360216,2.117722,4.04744
6.379995,-0.8738265,0.2952993,0.8738265,2.117722,5.40257,2.117722,4.107271
6.399995,-0.8738265,0.2778228,0.8738265,2.117722,5.444925,2.117722,4.167102
6.419995,-0.8738265,0.2603462,0.8738265,2.117722,5.487279,2.117722,4.226933
6.439995,-0.8738265,0.2428697,0.8738265,2.117722,5.529634,2.117722,4.286764
6.459995,-0.8738265,0.2253932,0.8738265,2.117722,5.571989,2.117722,4.346595
6.479995,-0.8738265,0.2079166,0.8738265,2.117722,5.614343,2.117722,4.406426
6.499995,-0.8738265,0.1904401,0.8738265,2.117722,5.656698,2.117722,4.466258
6.519995,-0.8738265,0.1729636,0.8738265,2.117722,5.699052,2.117722,4.526089
6.539995,-0.8738265,0.1554871,0.8738265,2.117722,5.741407,2.117722,4.58592
6.559995,-0.8738265,0.1380105,0.8738265,2.117722,5.783762,2.117722,4.645751
6.579995,-0.8738265,0.120534,0.8738265,2.117722,5.826116,2.117722,4.705582
